equipment_id,serial_number,equipment_desc,eq_length,eq_width,eq_height,eq_weight,dancefloor_restricted,dims_found,dims_missing
7098,26013127,38 Pit,135.0,56.0,90.0,0,0.0,True,False
7099,859431,34 Pit,132.0,60.0,98.0,0,0.0,True,False
7108,12056503,10 PRC,120.0,34.0,94.0,0,0.0,True,False
7110,26013186,10 Pit,137.0,62.0,90.0,0,0.0,True,False
7111,12056502,16 PRC,124.0,35.0,100.0,0,0.0,True,False
7112,15078241,16 Pit,130.0,58.0,87.0,0,0.0,True,False
7113,,33/3X PRC,130.0,35.0,100.0,0,0.0,True,False
7116,21022709,9x/91c Awning,0.0,0.0,0.0,0,0.0,True,True
7119,,Mini Cooper,153.0,68.0,56.0,1,0.0,True,False
7120,,Nitrogen Carts,80.0,45.0,50.0,0,0.0,True,False
7121,,Nitrogen Carts#2,80.0,45.0,50.0,0,0.0,True,False
7122,,TB Stack 1,63.0,35.0,68.0,,0.0,True,False
7123,,TB Stack 2,35.0,63.0,60.0,,0.0,True,False
7124,,Champ bottle carts,0.0,0.0,0.0,,0.0,True,True
7125,26013188,4 Awning,0.0,0.0,0.0,0,0.0,True,True
7127,26013187,41 Awning,0.0,0.0,0.0,0,0.0,True,True
7128,24016054,3 Pit,140.0,64.0,113.0,0,1.0,True,False
7131,24016055,8/33 pit,140.0,64.0,113.0,0,1.0,True,False
7132,26013176,8 PRC,120.0,37.0,93.0,0,0.0,True,False
7133,26013175,3 PRC,134.0,38.0,93.0,0,0.0,True,False
7136,19083072,62C pit,127.0,54.0,90.0,0,0.0,True,False
7139,26013190,35 Awning,0.0,0.0,0.0,0,0.0,True,True
7140,21022754,41 PRC,132.0,36.0,102.0,0,0.0,True,False
7141,859340,35 Pit,136.0,62.0,90.0,0,0.0,True,False
7142,15083044,35 PRC,128.0,36.0,98.0,0,0.0,True,False
7143,15083045,41 PIT,134.0,60.0,90.0,0,0.0,True,False
7144,19083001,4 PRC,128.0,34.0,97.0,0,0.0,True,False
7145,21022634,88 pit,134.0,60.0,88.0,0,0.0,True,False
7146,26013171,88 PRC,140.0,36.0,100.0,0,0.0,True,False
7147,21022619,23 PRC,131.0,36.0,91.0,0,0.0,True,False
7149,26013129,23 Pit,135.0,65.0,105.0,0,0.0,True,False
7151,26013191,23 Awning,0.0,0.0,0.0,0,0.0,True,True
7152,15083151,4 Pit,128.0,63.0,90.0,0,0.0,True,False
7153,26013156,17 PRC,135.0,35.0,90.0,0,0.0,True,False
7155,22008783,6 pit,130.0,52.0,80.0,0,0.0,True,False
7156,26013155,6 PRC,134.0,35.0,90.0,0,0.0,True,False
7161,915353,5 utility,124.0,40.0,100.0,0,0.0,True,False
7169,,NXS TB Stack,64.0,38.0,60.0,,0.0,True,False
7170,12001212,NXS Cooler,30.0,26.0,0.0,0,0.0,True,False
