assignment_id,race_id,race_year,race_date,trailer_id,trailer_name,trailer_view,is_awning,slot,equipment_id,is_loaded,serial_number,equipment_desc,type_id,eq_length,eq_width,eq_height,eq_weight,dancefloor_restricted,load_position,status_code,dims_found,dims_missing,race_name
86664,422,2026,2026-02-15 19:30:00+00:00,9,T-33,Cup,False,7,7365,True,,TB Stack 5,40.0,63.0,35.0,68.0,0.0,0.0,,F,True,False,Daytona - Spring
86703,422,2026,2026-02-15 19:30:00+00:00,9,T-33,Cup,False,8,7214,True,22008804.0,77 Pit,1.0,147.0,60.0,110.0,0.0,1.0,,F,True,False,Daytona - Spring
87009,422,2026,2026-02-15 19:30:00+00:00,11,T-12,Cup,False,1,7201,True,,NASCAR Foundation,25.0,100.0,70.0,50.0,,0.0,,F,True,False,Daytona - Spring
86332,422,2026,2026-02-15 19:30:00+00:00,11,T-12,Cup,False,2,7202,True,26013167.0,NASCAR Foundation#2,25.0,100.0,10.0,50.0,0.0,0.0,,F,True,False,Daytona - Spring
86333,422,2026,2026-02-15 19:30:00+00:00,11,T-12,Cup,False,3,6967,True,21022689.0,Media Driv Wagon1,44.0,98.0,79.0,50.0,0.0,0.0,,F,True,False,Daytona - Spring
86336,422,2026,2026-02-15 19:30:00+00:00,11,T-12,Cup,False,4,7289,True,22008597.0,1 tent,18.0,18.0,26.0,0.0,0.0,0.0,,F,True,False,Daytona - Spring
86342,422,2026,2026-02-15 19:30:00+00:00,11,T-12,Cup,False,4,7290,True,22008596.0,97 tent,18.0,18.0,26.0,0.0,0.0,0.0,,F,True,False,Daytona - Spring
87054,422,2026,2026-02-15 19:30:00+00:00,11,T-12,Cup,False,4,7520,True,26013178.0,88 Tent,18.0,18.0,26.0,0.0,,0.0,,F,True,False,Daytona - Spring
87053,422,2026,2026-02-15 19:30:00+00:00,11,T-12,Cup,False,4,7520,True,26013178.0,88 Tent,18.0,18.0,26.0,0.0,,0.0,,F,True,False,Daytona - Spring
87055,422,2026,2026-02-15 19:30:00+00:00,11,T-12,Cup,False,4,7520,True,26013178.0,88 Tent,18.0,18.0,26.0,0.0,,0.0,,F,True,False,Daytona - Spring
